M,seed,0.001,0.005,0.01
16.0,102.0,4294967296.0,67108864.0,2097152.0
16.0,435.0,2147483648.0,33554432.0,16777216.0
16.0,860.0,1073741824.0,8388608.0,2097152.0
16.0,270.0,536870912.0,33554432.0,8388608.0
16.0,106.0,268435456.0,16777216.0,4194304.0
16.0,71.0,2147483648.0,33554432.0,8388608.0
16.0,700.0,268435456.0,16777216.0,4194304.0
16.0,20.0,268435456.0,16777216.0,4194304.0
16.0,614.0,536870912.0,8388608.0,2097152.0
16.0,121.0,268435456.0,8388608.0,1048576.0
32.0,102.0,536870912.0,33554432.0,4194304.0
32.0,435.0,1073741824.0,33554432.0,8388608.0
32.0,860.0,536870912.0,33554432.0,8388608.0
32.0,270.0,536870912.0,8388608.0,2097152.0
32.0,106.0,536870912.0,16777216.0,4194304.0
32.0,71.0,268435456.0,16777216.0,2097152.0
32.0,700.0,536870912.0,16777216.0,2097152.0
32.0,20.0,2147483648.0,16777216.0,2097152.0
32.0,614.0,1073741824.0,16777216.0,4194304.0
32.0,121.0,1073741824.0,33554432.0,8388608.0
64.0,102.0,8589934592.0,134217728.0,67108864.0
64.0,435.0,4294967296.0,33554432.0,33554432.0
64.0,860.0,17179869184.0,268435456.0,67108864.0
64.0,270.0,1073741824.0,67108864.0,16777216.0
64.0,106.0,2147483648.0,67108864.0,16777216.0
64.0,71.0,2147483648.0,67108864.0,16777216.0
64.0,700.0,34359738368.0,67108864.0,16777216.0
64.0,20.0,4294967296.0,268435456.0,16777216.0
64.0,614.0,4294967296.0,134217728.0,67108864.0
64.0,121.0,2147483648.0,33554432.0,33554432.0
128.0,102.0,17179869184.0,134217728.0,67108864.0
128.0,435.0,68719476736.0,536870912.0,268435456.0
128.0,860.0,34359738368.0,536870912.0,33554432.0
128.0,270.0,8589934592.0,268435456.0,33554432.0
128.0,106.0,8589934592.0,536870912.0,67108864.0
128.0,71.0,8589934592.0,268435456.0,67108864.0
128.0,700.0,4294967296.0,134217728.0,67108864.0
128.0,20.0,8589934592.0,268435456.0,134217728.0
128.0,614.0,8589934592.0,134217728.0,67108864.0
128.0,121.0,4294967296.0,67108864.0,67108864.0
256.0,102.0,17179869184.0,536870912.0,134217728.0
256.0,435.0,34359738368.0,1073741824.0,67108864.0
256.0,860.0,17179869184.0,1073741824.0,67108864.0
256.0,270.0,17179869184.0,536870912.0,268435456.0
256.0,106.0,17179869184.0,536870912.0,67108864.0
256.0,71.0,68719476736.0,536870912.0,268435456.0
256.0,700.0,68719476736.0,268435456.0,67108864.0
256.0,20.0,68719476736.0,268435456.0,67108864.0
256.0,614.0,34359738368.0,536870912.0,268435456.0
256.0,121.0,34359738368.0,268435456.0,67108864.0
512.0,102.0,68719476736.0,4294967296.0,1073741824.0
512.0,435.0,8796093022208.0,1073741824.0,536870912.0
512.0,860.0,4398046511104.0,17179869184.0,4294967296.0
512.0,270.0,137438953472.0,1073741824.0,536870912.0
512.0,106.0,549755813888.0,2147483648.0,1073741824.0
512.0,71.0,68719476736.0,8589934592.0,1073741824.0
512.0,700.0,68719476736.0,1073741824.0,1073741824.0
512.0,20.0,549755813888.0,1073741824.0,1073741824.0
512.0,614.0,68719476736.0,2147483648.0,1073741824.0
512.0,121.0,68719476736.0,4294967296.0,536870912.0
1024.0,102.0,4398046511104.0,2147483648.0,536870912.0
1024.0,435.0,2199023255552.0,1073741824.0,536870912.0
1024.0,860.0,1099511627776.0,2147483648.0,536870912.0
1024.0,270.0,35184372088832.0,2147483648.0,1073741824.0
1024.0,106.0,35184372088832.0,2147483648.0,268435456.0
1024.0,71.0,2199023255552.0,536870912.0,536870912.0
1024.0,700.0,68719476736.0,1073741824.0,268435456.0
1024.0,20.0,137438953472.0,1073741824.0,536870912.0
1024.0,614.0,549755813888.0,536870912.0,268435456.0
1024.0,121.0,2199023255552.0,2147483648.0,1073741824.0
