M,seed,0.001,0.005,0.01,0.05,0.1
16.0,102.0,1423593004.0,36815159.0,11748352.0,303821.0,77154.0
16.0,435.0,1797389346.0,36989039.0,5948309.0,242915.0,61688.0
16.0,860.0,313904367.0,25438291.0,6459937.0,263809.0,84186.0
16.0,270.0,428492876.0,34724355.0,8818090.0,360111.0,91449.0
16.0,106.0,270486474.0,21919777.0,6994979.0,285659.0,72542.0
16.0,71.0,622408075.0,31940808.0,6454703.0,331244.0,84118.0
16.0,700.0,395184903.0,50572080.0,12842546.0,524460.0,133185.0
16.0,20.0,746924241.0,30502630.0,7746002.0,316329.0,80331.0
16.0,614.0,1442598119.0,18799935.0,4774157.0,194966.0,49511.0
16.0,121.0,1204654878.0,39148347.0,9941542.0,405990.0,129559.0
32.0,102.0,4436834487.0,43289791.0,10793919.0,422375.0,105316.0
32.0,435.0,1823573475.0,56611865.0,14115659.0,552357.0,137726.0
32.0,860.0,3133680601.0,97283440.0,24256749.0,949186.0,236671.0
32.0,270.0,1259979038.0,39115376.0,9753067.0,381646.0,95160.0
32.0,106.0,1444099433.0,56508747.0,14089947.0,551351.0,137475.0
32.0,71.0,1237285570.0,38410870.0,9577405.0,374772.0,93446.0
32.0,700.0,2804732730.0,54803324.0,13664715.0,534712.0,133326.0
32.0,20.0,5385054669.0,52541488.0,16513170.0,814486.0,203085.0
32.0,614.0,1923262902.0,37579766.0,11810877.0,462169.0,115238.0
32.0,121.0,1723036552.0,33667426.0,8394670.0,328491.0,81907.0
64.0,102.0,9066709650.0,353763456.0,140028603.0,4333672.0,427185.0
64.0,435.0,49636374370.0,2441672228.0,608055255.0,11839522.0,925699.0
64.0,860.0,27797774166.0,1084609194.0,340528149.0,8359267.0,1309712.0
64.0,270.0,32463578518.0,501375882.0,124858790.0,4871721.0,1213216.0
64.0,106.0,258052202843.0,1251279569.0,392856632.0,7649362.0,1510974.0
64.0,71.0,44237308823.0,1369077096.0,340944421.0,10551709.0,825009.0
64.0,700.0,391680291809.0,3805841181.0,751765326.0,7304681.0,359326.0
64.0,20.0,110349099792.0,1351797967.0,211796786.0,5199176.0,1632354.0
64.0,614.0,5636732868.0,440720114.0,54770461.0,2694225.0,532189.0
64.0,121.0,90274625219.0,2793861675.0,551869674.0,4253353.0,1059223.0
128.0,102.0,37444981586.0,564648109.0,139499494.0,5342696.0,1045573.0
128.0,435.0,31798169661766.0,557135733.0,109032229.0,5271613.0,1031662.0
128.0,860.0,24223819400.0,582141587.0,181561705.0,6953637.0,1360837.0
128.0,270.0,110630806035.0,1321476542.0,412149792.0,15784937.0,3899758.0
128.0,106.0,786733561416.0,1456813849.0,724104819.0,17401531.0,3405504.0
128.0,71.0,96701057985.0,1458194587.0,360255180.0,10929420.0,2700175.0
128.0,700.0,11848411391.0,723185366.0,178667015.0,3401180.0,1060780.0
128.0,20.0,16775864359142.0,4815643102.0,746530053.0,17940449.0,2203056.0
128.0,614.0,41072061332.0,490602641.0,121206144.0,4642078.0,1146852.0
128.0,121.0,32326883306.0,776872666.0,152035049.0,5822795.0,1438555.0
256.0,102.0,191266745436.0,7396474200.0,1454512260.0,70958384.0,17603435.0
256.0,435.0,47446340855.0,1454410334.0,360811726.0,13952947.0,3461463.0
256.0,860.0,109128566003.0,1320743462.0,327651500.0,15984480.0,2491668.0
256.0,270.0,30609912207.0,2376569489.0,467350979.0,18072925.0,4483552.0
256.0,106.0,99363139197.0,1913847935.0,376357060.0,14554100.0,4554914.0
256.0,71.0,190273959483.0,2905095598.0,720699332.0,27870156.0,6914060.0
256.0,700.0,97097575723.0,2976409034.0,585309069.0,28554305.0,7083784.0
256.0,20.0,197513217937.0,4799315938.0,1502014353.0,46042438.0,14409638.0
256.0,614.0,61166276799.0,1874978417.0,465146721.0,22692184.0,4462405.0
256.0,121.0,77156945879.0,2365153085.0,740208381.0,28624591.0,7101220.0
512.0,102.0,1768850557661893.0,6166864035.0,1526375544.0,74094896.0,18339409.0
512.0,435.0,13040409968330.0,7605750040.0,936564274.0,17922386.0,5598350.0
512.0,860.0,502337561405.0,9612888219.0,937955574.0,57461416.0,17949011.0
512.0,270.0,13186237600682.0,19509239931.0,3031817467.0,92405031.0,22871395.0
512.0,106.0,771888544013.0,37469809426.0,5822965072.0,282664374.0,27580330.0
512.0,71.0,33274202663173.0,7650499853.0,3806171246.0,72836080.0,11319032.0
512.0,700.0,509350534804.0,12301049558.0,1911634541.0,73530005.0,14420970.0
512.0,20.0,172814181885301.0,9834642084.0,2434196226.0,188198778.0,36910223.0
512.0,614.0,31848226777431.0,11662770657.0,1812443331.0,69714668.0,21776514.0
512.0,121.0,1371242624675017.0,15304648062.0,6033296901.0,115455051.0,11265263.0
1024.0,102.0,4997953714637.0,96203493020.0,23860770767.0,181305995.0,56731403.0
1024.0,435.0,4896493037691.0,94250519449.0,9227976181.0,356663168.0,17391130.0
1024.0,860.0,2497328575561.0,30202218154.0,7490873579.0,229491464.0,17810312.0
1024.0,270.0,192682459272.0,9395322820.0,3708863004.0,363131150.0,28181785.0
1024.0,106.0,391016832768.0,24053745329.0,2355078681.0,144874743.0,45331912.0
1024.0,71.0,785293059090.0,11981539981.0,2971708926.0,91041696.0,22580522.0
1024.0,700.0,1536659712827.0,11676304211.0,3653564323.0,357716910.0,8686720.0
1024.0,20.0,1224331810761.0,29731407774.0,7374101326.0,359566007.0,44413917.0
1024.0,614.0,987238683238.0,30245184126.0,4713184087.0,57000355.0,17835649.0
1024.0,121.0,606919643697.0,29593799039.0,5818038879.0,70362259.0,13832978.0
